Age 	GR
6138	0.09525
6139	0.26458
6140	0.43392
6141	0.34925
6142	0.40217
6143	0.3175
6144	0.13758
6145	0.33867
6146	0.65618
6147	0.7408
6148	0.4657
6149	0.127
6150	0.2434
6151	0.9631
6152	0.127
6153	0.9207
6154	0.5186
6155	0.1693
6156	0.2329
6157	0.8996
6158	0.3069
6159	0.2434
6160	0.254
6161	0.5186
6162	0.6138
6163	0.2011
6164	0.2117
6165	0.2434
6166	0.1058
6167	0.508
6168	0.3493
6169	0.7196
6170	0.4234
6171	0.5609
6172	0.9419
6173	0.4762
6174	0.7409
6175	0.2646
6176	0.254
6177	0.4868
6178	0.3175
6179	0.1588
6180	1.344
6181	0.3705
6182	0.7937
6183	0.2117
6184	0.2857
6185	0.2117
6186	0.254
6187	0.3916
6188	0.4339
6189	0.4127
6190	0.6879
6191	0.3281
6192	0.2329
6193	0.2011
6194	0.6561
6195	0.5927
6196	0.2434
6197	0.3492
6198	0.3916
6199	0.2858
6200	0.2857
6201	0.1588
6202	0.2222
6203	0.381
6204	0.6985
6205	0.2223
6206	0.2011
6207	0.762
6208	0.9525
6209	0.4129
6210	1.7702
6211	0.1908
6212	0.2544
6213	0.3392
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
