Age 	 GS
5.416515900000000329e+03	1.876870000000000118e+02
5.416534000000000560e+03	1.894140000000000157e+02
5.416551999999999680e+03	1.919590000000000032e+02
5.416569800000000214e+03	1.942870000000000061e+02
5.416587499999999636e+03	1.969479999999999791e+02
5.416604800000000068e+03	1.998429999999999893e+02
5.416622100000000501e+03	2.020270000000000152e+02
5.416639299999999821e+03	2.034799999999999898e+02
5.416656399999999849e+03	2.046309999999999718e+02
5.416673300000000381e+03	2.053359999999999843e+02
5.416690200000000004e+03	2.049679999999999893e+02
5.416706900000000132e+03	2.033109999999999786e+02
5.416723399999999856e+03	2.003659999999999854e+02
5.416739999999999782e+03	1.968029999999999973e+02
5.416756599999999708e+03	1.934840000000000089e+02
5.416773100000000341e+03	1.910559999999999832e+02
5.416789499999999862e+03	1.909440000000000168e+02
5.416805900000000292e+03	1.919050000000000011e+02
5.416822200000000521e+03	1.927800000000000011e+02
5.416838600000000042e+03	1.932220000000000084e+02
5.416855000000000473e+03	1.930809999999999889e+02
5.416871399999999994e+03	1.928740000000000236e+02
5.416887800000000425e+03	1.925870000000000175e+02
5.416904099999999744e+03	1.926309999999999718e+02
5.416920600000000377e+03	1.926759999999999877e+02
5.416937200000000303e+03	1.933300000000000125e+02
5.416953900000000431e+03	1.936349999999999909e+02
5.416970599999999649e+03	1.934640000000000271e+02
5.416987399999999980e+03	1.930740000000000123e+02
5.417004300000000512e+03	1.917599999999999909e+02
5.417021200000000135e+03	1.903629999999999995e+02
5.417038300000000163e+03	1.888190000000000168e+02
5.417055599999999686e+03	1.872949999999999875e+02
5.417073000000000320e+03	1.866890000000000214e+02
5.417090600000000450e+03	1.859990000000000236e+02
5.417108400000000074e+03	1.849479999999999791e+02
5.417126100000000406e+03	1.836570000000000107e+02
5.417144199999999728e+03	1.827179999999999893e+02
5.417162500000000364e+03	1.815870000000000175e+02
5.417180999999999585e+03	1.803329999999999984e+02
5.417199800000000323e+03	1.793609999999999900e+02
5.417218600000000151e+03	1.782390000000000043e+02
5.417237799999999879e+03	1.772540000000000191e+02
5.417257200000000012e+03	1.762909999999999968e+02
5.417276899999999841e+03	1.745729999999999791e+02
5.417296900000000278e+03	1.720509999999999877e+02
5.417317200000000412e+03	1.686990000000000123e+02
5.417337599999999838e+03	1.645800000000000125e+02
5.417358500000000276e+03	1.609739999999999895e+02
5.417379700000000412e+03	1.584360000000000070e+02
5.417401200000000244e+03	1.561850000000000023e+02
5.417423000000000684e+03	1.548370000000000175e+02
5.417445099999999911e+03	1.549129999999999825e+02
5.417467400000000453e+03	1.553829999999999814e+02
5.417489499999999680e+03	1.558799999999999955e+02
5.417511999999999716e+03	1.565229999999999961e+02
5.417534800000000359e+03	1.576999999999999886e+02
5.417557700000000295e+03	1.596299999999999955e+02
5.417580899999999929e+03	1.618329999999999984e+02
5.417604100000000471e+03	1.642859999999999729e+02
5.417627900000000409e+03	1.666599999999999966e+02
5.417651899999999841e+03	1.686279999999999859e+02
5.417676300000000083e+03	1.706209999999999809e+02
5.417701000000000022e+03	1.722579999999999814e+02
5.417726099999999860e+03	1.739569999999999936e+02
