Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
173.811	0.79	2.48	1.55	0.09	19.20	0.80	0.94	6.96	0.13	1.42	0.28	0.018	16.16	0.62	0.48	5904.866	5.9049
173.838	1.04	5.65	1.62	0.08	14.84	0.81	0.91	6.26	0.11	1.34	0.22	0.056	10.22	0.69	0.49	5904.9541	5.9050
173.865	1.02	4.28	1.07	0.08	18.58	0.85	0.89	7.04	0.13	1.42	0.33	0.011	11.54	0.53	0.56	5905.0417	5.9050
173.892	1.10	4.07	1.68	0.08	12.59	0.85	0.81	6.70	0.13	1.30	0.15	0.021	25.41	0.75	0.60	5905.1342	5.9051
173.919	0.55	4.24	1.56	0.30	14.48	0.78	0.85	5.11	0.13	1.16	0.14	0.035	7.49	1.11	0.50	5905.2316	5.9052
173.946	0.93	4.37	1.15	0.00	13.07	0.76	0.88	4.72	0.11	1.72	0.27	0.067	10.01	0.56	0.62	5905.3325	5.9053
173.973	0.79	2.76	1.84	0.07	10.20	0.75	1.10	4.86	0.11	1.30	0.17	0.010	6.47	0.50	0.69	5905.4355	5.9054
174.000	0.93	3.11	1.63	0.00	11.06	0.69	0.96	4.96	0.12	1.74	0.10	0.036	30.67	0.48	0.61	5905.5393	5.9055
174.027	0.86	1.65	1.03	0.22	5.93	0.68	1.06	4.74	0.14	1.45	0.18	0.018	4.68	0.46	0.61	5905.6425	5.9056
174.054	0.82	1.79	2.20	0.00	9.49	0.71	1.15	4.73	0.16	1.73	0.13	0.024	6.28	0.37	0.58	5905.7438	5.9057
174.081	0.85	2.71	3.04	0.00	11.04	0.72	1.03	5.37	0.15	1.69	0.24	0.007	30.75	0.46	0.54	5905.8418	5.9058
174.108	0.75	3.11	1.25	0.08	5.29	0.71	1.03	5.41	0.14	1.63	0.07	0.029	15.63	0.70	0.65	5905.9351	5.9059
174.135	0.75	8.78	1.14	0.07	7.44	0.77	1.02	6.29	0.19	1.78	0.20	0.012	4.48	0.38	0.66	5906.0224	5.9060
174.162	0.82	3.03	2.62	0.00	8.72	0.73	1.15	7.18	0.19	2.04	0.09	0.037	8.49	0.52	0.86	5906.1055	5.9061
174.189	0.88	1.86	1.51	0.00	6.52	0.83	1.09	9.07	0.17	1.73	0.18	0.020	3.74	0.23	0.81	5906.1855	5.9062
174.216	1.23	2.60	1.83	0.00	8.21	0.89	0.82	12.80	0.15	1.73	0.14	0.036	7.86	0.52	1.39	5906.263	5.9063
174.243	1.48	3.15	3.11	0.08	12.09	0.87	0.77	12.54	0.15	1.77	0.22	0.009	9.68	0.66	1.14	5906.3387	5.9063
174.270	1.11	3.51	3.98	0.24	13.55	0.85	0.49	12.32	0.16	1.52	0.15	0.102	9.71	0.43	1.22	5906.4132	5.9064
174.297	1.04	4.01	6.17	0.00	17.37	0.84	0.52	11.66	0.17	1.50	0.26	0.030	6.81	0.78	1.13	5906.4869	5.9065
174.325	0.91	6.82	10.41	0.40	20.72	0.87	0.52	12.26	0.15	1.36	0.26	0.055	19.57	3.20	2.12	5906.5632	5.9066
174.352	1.21	6.22	9.83	0.08	15.43	0.82	0.46	9.22	0.13	1.48	0.44	0.024	18.96	1.57	1.48	5906.6373	5.9066
174.379	1.00	7.99	10.54	0.33	18.69	0.81	0.65	10.04	0.16	1.34	0.32	0.070	22.70	1.00	2.49	5906.7124	5.9067
174.406	1.00	11.91	21.56	0.08	21.12	0.78	0.75	7.38	0.14	2.01	0.24	0.040	8.55	1.11	1.66	5906.7892	5.9068
174.433	0.64	7.02	8.86	0.07	12.96	0.74	0.79	7.68	0.13	1.48	0.17	0.015	11.30	0.93	2.30	5906.8682	5.9069
174.460	0.90	8.99	16.35	0.22	17.27	0.78	0.77	6.67	0.18	1.87	0.12	0.015	11.61	1.20	1.41	5906.95	5.9070
174.487	0.98	3.46	4.49	0.08	12.26	0.89	0.77	6.64	0.11	1.86	0.11	0.320	17.63	0.44	1.72	5907.0354	5.9070
174.514	0.87	2.45	2.41	0.00	8.28	0.90	0.74	6.91	0.13	1.93	0.08	0.018	6.42	0.06	0.94	5907.1274	5.9071
174.541	0.93	3.67	5.28	0.08	14.17	0.85	0.84	5.11	0.13	2.00	0.24	0.007	16.73	0.64	1.07	5907.2252	5.9072
174.568	0.86	3.42	2.98	0.08	14.30	0.86	1.04	4.69	0.19	1.69	0.20	0.032	6.37	0.67	1.23	5907.327	5.9073
174.595	0.74	4.40	3.83	0.08	13.75	0.81	1.03	5.03	0.13	1.77	0.10	0.014	6.57	0.77	1.28	5907.4313	5.9074
174.622	0.89	2.51	2.03	0.00	8.26	0.80	1.30	4.61	0.16	1.72	0.11	0.016	3.44	0.42	0.79	5907.5363	5.9075
174.649	0.98	3.38	2.07	0.00	9.59	0.71	1.09	5.44	0.15	1.78	0.08	0.030	10.25	0.51	0.92	5907.6403	5.9076
174.676	0.79	3.82	5.57	0.00	25.00	0.71	0.78	6.17	0.16	1.96	0.11	0.023	6.86	0.93	0.86	5907.7417	5.9077
174.703	0.70	3.42	3.19	0.08	12.71	0.69	0.85	6.40	0.18	1.73	0.10	0.012	4.00	0.48	1.00	5907.8388	5.9078
174.730	0.84	2.15	1.39	0.00	3.97	0.73	1.12	5.94	0.13	1.54	0.05	0.022	6.12	0.19	1.09	5907.9298	5.9079
174.757	0.88	2.63	1.59	0.09	5.59	0.78	0.99	5.30	0.14	1.04	0.07	0.000	22.29	0.42	0.65	5908.0132	5.9080
174.784	1.44	5.50	3.98	0.33	13.68	0.99	0.93	6.63	0.13	1.57	0.14	0.024	10.77	0.77	0.80	5908.0908	5.9081
174.811	1.01	2.38	3.07	0.08	10.44	1.02	0.67	12.88	0.16	1.34	0.10	0.010	5.56	0.67	0.91	5908.1644	5.9082
174.838	1.16	3.02	2.01	0.31	8.47	1.01	0.52	14.58	0.13	1.55	0.07	0.007	11.68	0.30	0.84	5908.2346	5.9082
174.866	0.98	1.91	2.08	0.25	7.23	0.92	0.58	13.24	0.15	1.64	0.12	0.011	6.29	0.24	0.79	5908.3047	5.9083
174.893	1.17	4.52	4.42	0.08	15.27	0.91	0.72	9.79	0.14	1.36	0.20	0.021	10.88	1.09	0.72	5908.3703	5.9084
174.920	1.00	6.45	8.38	0.24	18.85	0.96	0.89	8.36	0.14	1.53	0.33	0.031	26.19	1.00	1.21	5908.4345	5.9084
174.947	1.17	6.06	4.80	0.15	14.64	0.87	1.05	7.08	0.12	1.67	0.22	0.039	5.39	0.83	1.66	5908.4981	5.9085
174.974	0.79	3.97	3.29	0.15	9.56	0.81	1.21	5.50	0.16	1.59	0.10	0.010	10.18	0.27	1.35	5908.5617	5.9086
175.001	0.94	1.93	1.39	0.00	6.82	0.87	1.24	5.69	0.13	1.77	0.11	0.009	7.53	0.34	0.64	5908.6258	5.9086
175.028	0.83	2.38	1.42	0.00	9.23	0.77	1.23	5.70	0.14	1.97	0.13	0.010	8.79	0.30	0.49	5908.6913	5.9087
175.055	0.98	2.68	1.26	0.08	9.15	0.81	1.39	6.51	0.17	1.68	0.12	0.035	9.08	0.37	0.49	5908.7587	5.9088
175.082	1.12	3.09	1.45	0.00	9.66	0.87	1.37	6.73	0.17	1.83	0.17	0.023	6.57	0.62	0.48	5908.8287	5.9088
175.109	1.13	3.01	0.87	0.00	16.13	0.87	1.26	9.61	0.15	1.81	0.16	0.065	14.93	0.43	0.70	5908.902	5.9089
175.136	1.42	6.68	1.32	0.08	10.05	0.99	0.95	11.95	0.16	1.66	0.15	0.033	5.87	0.28	0.73	5908.9791	5.9090
175.163	1.02	4.85	2.62	0.00	5.66	0.96	0.75	13.23	0.13	2.33	0.15	0.027	18.07	0.38	0.70	5909.061	5.9091
175.190	1.45	6.65	2.28	0.16	12.15	1.05	0.74	14.38	0.15	2.66		0.014	14.46	0.75	0.66	5909.1481	5.9091
175.217	0.92	3.15	1.96	0.00	16.50	0.85	0.66	11.56	0.12	1.58	0.60	0.057	14.60	0.66	0.65	5909.2399	5.9092
175.244	1.16	3.17	1.33	0.08	10.26	0.89	0.84	9.45	0.17	1.52	0.31	0.041	19.56	0.40	0.76	5909.3354	5.9093
175.271	0.95	2.70	1.14	0.07	14.29	0.82	1.01	8.42	0.14	1.30	0.28	0.038	6.54	0.61	0.59	5909.4342	5.9094
175.298	0.82	1.47	0.82	0.07	6.45	0.78	1.06	7.36	0.14	1.19	0.12	0.022	7.73	0.34	0.53	5909.5353	5.9095
175.325	0.62	2.20	0.50	0.00	7.22	0.74	1.10	6.21	0.17	1.81	0.11	0.016	8.82	0.81	0.56	5909.6382	5.9096
175.352	1.08	1.78	1.06	0.08	7.86	0.78	1.04	5.59	0.17	1.85	0.20	0.047	3.12	0.40	0.43	5909.742	5.9097
175.379	0.74	2.43	1.11	0.18	11.00	0.75	1.10	9.68	0.13	1.45	0.09	0.030	11.04	0.46	0.72	5909.8462	5.9098
175.407	0.89	1.58	0.72	0.09	5.31	0.85	0.87	10.53	0.19	1.66	0.07	0.009	1.90	0.29	0.55	5909.9537	5.9100
175.434	1.12	3.48	1.63	0.00	17.07	0.84	0.77	10.75	0.18	1.76	0.41	0.004	8.26	0.82	0.58	5910.057	5.9101
175.461	1.14	3.07	1.30	0.57	11.74	0.81	0.91	11.38	0.17	1.66	0.16	0.040	5.00	0.53	0.80	5910.1626	5.9102
175.488	0.85	2.11	0.97	0.08	10.59	0.80	0.93	11.12	0.16	1.22	0.13	0.018	67.30	0.44	0.78	5910.2708	5.9103
175.515	0.99	2.71	0.74	0.00	8.14	0.84	0.62	10.69	0.18	1.41	0.08	0.009	7.76	0.25	0.59	5910.3811	5.9104
175.542	0.73	1.81	1.70	0.00	13.51	0.81	0.58	10.83	0.15	1.47	0.14	0.010	6.52	0.40	0.57	5910.493	5.9105
175.569	0.80	3.22	1.48	0.00	8.45	0.86	0.71	9.78	0.16	1.35	0.11	0.108	9.41	0.74	0.64	5910.6062	5.9106
175.596	0.85	3.48	1.75	0.07	12.31	0.80	0.74	8.79	0.17	1.34	0.20	0.015	3.98	0.76	0.64	5910.7203	5.9107
175.623	0.86	2.75	1.34	0.00	8.86	0.78	0.83	7.10	0.18	1.68	0.12	0.036	6.48	0.56	0.66	5910.8348	5.9108
175.650	0.74	2.45	1.61	0.08	6.97	0.87	0.98	8.43	0.17	1.12	0.08	0.015	6.26	0.49	0.61	5910.9493	5.9109
175.677	0.94	1.76	1.16	0.00	6.15	0.82	1.01	7.01	0.16	1.31	0.09	0.021	3.62	1.68	0.51	5911.0652	5.9111
175.704	0.82	2.31	1.95	0.00	8.30	0.75	0.96	6.52	0.16	1.55	0.13	0.005	3.90	0.32	0.49	5911.1892	5.9112
175.731	0.96	3.22	1.71	0.00	15.15	0.78	1.14	7.03	0.15	1.35	0.25	0.030	2.68	0.71	0.60	5911.3189	5.9113
175.758	0.93	3.28	1.62	0.17	14.52	0.83	1.11	7.54	0.20	1.64	0.23	0.008	2.36	0.71	0.60	5911.451	5.9115
175.785	1.03	3.43	1.85	0.00	13.98	0.90	1.14	9.32	0.14	1.30	0.16	0.004	3.29	0.48	0.72	5911.582	5.9116
175.812	1.36	3.68	1.41	0.08	13.24	0.94	0.77	8.63	0.15	1.60	0.21	0.017	3.92	0.69	0.64	5911.7084	5.9117
175.839	1.00	3.64	1.38	0.15	11.77	0.92	0.83	7.74	0.14	1.53	0.09	0.019	5.60	0.38	0.72	5911.8267	5.9118
175.866	0.94	5.60	1.85	0.08	16.21	0.88	1.07	6.31	0.17	1.41	0.21	0.004	3.01	0.59	0.63	5911.9335	5.9119
175.893	0.87	8.52	2.49	0.30	22.07	0.85	1.12	6.02	0.15	1.67	0.26	0.038	8.53	1.01	0.63	5912.026	5.9120
175.921	0.74	3.86	0.60	0.00	7.08	0.87	1.22	6.05	0.21	1.68	0.19	0.033	3.20	0.42	0.86	5912.1137	5.9121
175.948	0.79	5.07	1.04	0.00	7.08	0.82	1.41	5.64	0.17	1.78	0.05	0.029	9.43	0.35	0.68	5912.1939	5.9122
175.975	0.67	3.12	0.64	0.00	4.09	0.82	1.16	5.21	0.14	1.81	0.06	0.010	1.63	0.12	0.45	5912.27	5.9123
176.002	0.89	2.93	0.90	0.16	4.50	0.88	1.34	5.83	0.13	1.69	0.07	0.006	3.42	0.23	0.52	5912.3428	5.9123
176.029	1.13	3.76	1.21	0.00	6.04	0.89	1.06	7.57	0.17	1.28	0.20	0.014	8.73	0.23	0.45	5912.4125	5.9124
176.056	1.14	2.04	1.07	0.16	10.97	0.93	1.03	10.38	0.17	1.30	0.09	0.042	11.07	0.67	0.65	5912.4797	5.9125
176.083	1.22	1.68	0.19	0.08	7.88	0.97	0.73	12.32	0.17	1.19	0.11	0.042	1.88		0.59	5912.5448	5.9125
176.110	0.90	3.97	1.26	0.08	9.18	0.90	0.75	12.05	0.15	1.40	0.15	0.030	9.70	0.25	0.64	5912.6085	5.9126
176.137	1.01	2.24	1.40	0.00	13.46	0.94	0.77	14.64	0.13	1.50	0.13	0.017	3.66	0.52	0.81	5912.671	5.9127
176.164	0.73	1.78	1.04	0.08	11.72	0.89	0.74	15.01	0.15	1.15	0.10	0.013	6.76	0.22	0.62	5912.7329	5.9127
176.191	0.92	1.33	0.64	0.00	9.90	0.91	0.48	11.21	0.13	1.12	0.04	0.020	6.37	0.43	0.53	5912.7947	5.9128
176.218	0.84	0.76	0.40	0.00	5.17	0.84	0.77	9.99	0.16	1.20	0.07	0.007	5.19	0.25	0.41	5912.8568	5.9129
176.245	0.90	2.29	0.83	0.00	4.97	0.83	1.01	8.43	0.15	1.15	0.08	0.023	7.30	0.47	0.41	5912.9197	5.9129
176.272	1.18	2.31	1.72	0.08	11.64	0.85	1.18	7.56	0.16	1.53	0.22	0.018	13.37	0.46	0.44	5912.9839	5.9130
176.299	0.76	3.28	1.80	0.00	13.78	0.81	1.19	7.42	0.17	1.52	0.14	0.053	5.90	0.63	0.66	5913.0495	5.9130
176.326	1.14	2.16	2.13	0.08	11.60	0.81	1.13	7.24	0.16	1.50	0.25	0.029	16.53	0.56	0.61	5913.1158	5.9131
176.353	1.03	2.33	1.88	0.00	12.17	0.80	0.95	7.36	0.17	1.35	0.13	0.030	5.61	0.42	0.60	5913.1826	5.9132
176.380	0.92	2.23	1.24	0.00	10.25	0.83	1.06	7.04	0.15	1.64	0.14	0.024	27.20	0.96	0.56	5913.2497	5.9132
176.407	1.00	2.27	0.94	0.00	5.71	0.84	0.94	7.13	0.15	1.44	0.12	0.040	12.72	0.35	0.42	5913.317	5.9133
176.434	1.06	2.85	0.96	0.00	10.00	0.87	1.11	6.31	0.19	1.59	0.16	0.018	5.91	0.47	0.46	5913.3841	5.9134
176.462	1.03	2.85	3.51	0.00	12.77	0.85	1.22	8.08	0.18	1.76	0.13	0.028	8.49	0.70	0.64	5913.4534	5.9135
176.489	1.25	1.68	1.46	0.00	7.28	0.88	0.89	10.60	0.16	1.52	0.25	0.007	8.03	0.36	0.70	5913.5198	5.9135
176.516	1.14	4.41	1.70	0.00	12.74	0.93	0.98	11.97	0.16	1.20	0.18	0.039	27.29	0.50	0.74	5913.5854	5.9136
176.543	1.19	3.69	2.06	0.00	8.31	0.83	0.96	9.84	0.18	1.21	0.22	0.032	40.88	0.48	0.60	5913.6502	5.9137
176.570	0.95	1.83	1.36	0.34	10.27	0.77	1.01	9.54	0.15	1.16	0.20	0.027	16.91	0.97	0.56	5913.7139	5.9137
176.597	0.94	2.32	0.94	0.00	9.56	0.83	1.28	9.60	0.15	1.85	0.18	0.032	21.22	0.51	0.68	5913.7763	5.9138
176.624	0.97	2.40	0.91	0.00	9.77	0.81	1.19	9.06	0.15	1.57	0.14	0.024	6.77	0.65	0.66	5913.8372	5.9138
176.651	1.09	2.81	1.32	0.08	10.23	0.86	1.13	8.30	0.20	1.36	0.32	0.007	21.36	1.12	0.65	5913.8965	5.9139
176.678	1.13	4.38	2.89	0.08	15.75	0.81	1.21	7.86	0.18	1.74	0.24	0.037	24.99	5.81	0.74	5913.9538	5.9140
176.705	1.24	3.77	1.62	0.17	12.61	0.81	1.75	8.01	0.19	1.36	0.25	0.028	41.19		0.73	5914.0091	5.9140
176.732	1.35	2.31	1.62	0.09	10.33	0.86	1.79	8.36	0.15	1.53	0.20	0.046	11.05	9.71	0.68	5914.0623	5.9141
176.759	1.10	1.61	1.88	0.00	8.63	0.91	0.89	13.32	0.14	1.40	0.12	0.037	10.71	1.94	0.77	5914.1137	5.9141
176.786	1.23	1.79	0.61	0.00	7.49	0.89	0.60	14.88	0.15	1.54	0.10	0.041	9.73	0.54	0.79	5914.1634	5.9142
176.813	1.08	1.87	0.60	0.00	6.81	0.90	0.68	11.57	0.14	1.58	0.10	0.006	4.52	0.44	0.66	5914.2118	5.9142
176.840	0.70	2.17	0.73	0.00	8.35	0.83	0.79	10.64	0.14	1.45	0.13	-0.002	12.91	0.49	0.69	5914.2589	5.9143
176.867	0.66	1.07	0.76	0.00	4.32	0.80	0.83	9.69	0.17	1.53	0.12	0.020	6.09	0.52	0.56	5914.305	5.9143
176.894	0.99	1.66	1.38	0.09	10.55	0.87	0.90	8.00	0.18	1.53	0.16	0.020	5.05	1.14	0.54	5914.3504	5.9144
176.921	0.81	1.88	1.26	0.08	8.57	0.83	0.85	7.37	0.14	1.29	0.16	0.009	4.23	0.72	0.48	5914.3952	5.9144
176.948	1.01	3.40	1.14	0.16	12.28	0.82	0.96	7.51	0.17	1.81	0.13	0.006	5.92	0.47	0.60	5914.4397	5.9144
176.975	0.88	1.29	0.48	0.08	7.70	0.82	0.89	8.53	0.14	1.53	0.13	0.013	1.89	0.37	0.67	5914.4841	5.9145
177.003	1.28	2.99	1.15	0.09	12.60	0.91	0.92	10.94	0.18	1.71	0.22	0.006	58.89	0.76	0.69	5914.5302	5.9145
177.030	0.97	2.62	1.09	0.00	11.50	0.84	0.74	13.16	0.17	1.38	0.09	0.016	6.94	0.65	0.76	5914.5749	5.9146
177.057	0.82	2.98	1.15	0.00	9.46	0.89	0.83	11.87	0.15	1.57	0.15	0.008	3.79	0.50		5914.6202	5.9146
177.084	1.01	1.90	0.68	0.16	4.11	0.76	0.79	8.87	0.15	1.63	0.07	0.011	3.86	0.13	0.57	5914.6663	5.9147
177.111	1.06	2.43	0.50	0.00	8.45	0.73	0.99	9.58	0.21	1.82	0.11	0.025	9.51	0.59	0.61	5914.7133	5.9147
177.138	1.00	2.99	1.21	0.00	18.44	0.79	1.23	9.16	0.20	1.79	0.20	0.032	10.65	1.08	0.64	5914.7615	5.9148
177.165	0.97	2.20	0.98	0.08	12.21	0.79	1.14	8.44	0.15	1.48	0.09	0.033	5.58	0.51	0.62	5914.811	5.9148
177.192	1.15	2.98	0.81	0.00	8.03	0.86	0.83	11.43	0.18	1.31	0.06	0.022	5.19	0.45	0.67	5914.8622	5.9149
177.219	1.30	1.98	1.52	0.00	9.59	0.90	0.77	13.02	0.16	1.19	0.12	0.006	7.11	0.55	0.61	5914.9152	5.9149
177.246	1.25	2.45	1.00	0.00	12.90	0.88	0.63	10.78	0.13	1.19	0.13	0.035	10.72	0.51	0.60	5914.9702	5.9150
177.273	0.90	3.07	1.31	0.00	10.19	0.88	0.83	10.06	0.13	1.46	0.12	0.014	11.25	0.43	0.60	5915.0272	5.9150
177.300	0.93	3.60	2.12	0.08	14.45	0.86	0.94	7.59	0.17	1.49	0.15	0.020	65.58	0.95	0.78	5915.0847	5.9151
177.327	0.64	2.44	0.82	0.07	8.57	0.83	1.14	5.76	0.25	1.81	0.09	0.016	5.60	0.21	0.48	5915.1426	5.9151
177.354	1.08	2.54	1.07	0.15	6.48	0.82	1.33	6.08	0.18	1.83	0.09	0.023	7.48	0.96	0.44	5915.2015	5.9152
177.381	1.12	1.98	2.73	0.00	12.93	0.91	0.85	14.10	0.17	1.34	0.12	0.015	12.68	0.56	1.00	5915.2619	5.9153
177.408	1.30	3.44	2.98	0.08	16.42	0.83	0.64	14.10	0.15	1.41	0.22	0.018	29.86	1.29	0.75	5915.324	5.9153
177.435	1.15	1.40	0.98	0.00	9.88	0.85	0.58	12.24	0.17	1.12	0.22	0.055	13.04	0.50	0.61	5915.3884	5.9154
177.462	1.30	7.65	1.58	0.08	20.43	0.85	0.69	12.47	0.17	1.49	0.28	0.103	18.73	0.57	0.62	5915.4556	5.9155
177.489	1.05	2.80	0.81	0.09	11.03	0.92	0.86	12.48	0.13	1.63	0.23	0.023	8.07	0.68	0.64	5915.5259	5.9155
177.516	1.09	2.94	1.37	0.09	14.62	0.94	0.98	10.01	0.17	1.31	0.42	0.026	9.96	1.08	0.59	5915.5997	5.9156
177.544	0.89	3.29	1.95	0.00	19.00	0.90	1.05	8.35	0.19	1.20	0.46	0.053	13.88	1.32	0.62	5915.6806	5.9157
177.571	1.21	3.32	1.74	0.00	17.62	0.89	1.21	6.94	0.15	1.41	0.45	0.037	9.08	1.12	0.72	5915.7631	5.9158
177.598	1.16	3.79	1.96	0.08	20.40	0.96	1.27	7.65	0.17	1.24	0.35	0.227	11.42	0.87	0.68	5915.8505	5.9159
177.625	0.75	3.73	2.23	0.07	23.28	0.87	1.13	5.72	0.21	1.45	0.38	0.017	8.91	0.84	0.84	5915.9432	5.9159
177.652	1.30	3.82	1.01	0.00	18.62	0.88	1.48	6.22	0.20	1.51	0.44	0.032	25.35	0.86	0.94	5916.0453	5.9160
177.679	1.12	3.78	2.05	0.23	25.69	0.93	1.39	7.36	0.24	1.50	0.43	0.016	34.25	1.16	1.16	5916.183	5.9162
177.706	1.15	2.87	1.12	0.31	13.28	0.91	1.29	7.45	0.19	1.43	0.31	0.037	6.08	2.22	1.10	5916.3489	5.9163
177.733	0.78	3.75	1.74	0.00	15.15	0.87	1.54	8.11	0.22	1.59	0.26	0.026	7.26	1.11	1.00	5916.5269	5.9165
177.760	1.13	3.20	0.89	0.00	16.90	0.86	1.43	7.35	0.24	1.73	0.32	0.007	4.47	0.94	0.85	5916.7011	5.9167
177.787	0.94	2.37	0.82	0.09	11.13	0.84	1.15	10.05	0.20	1.89	0.28	0.020	19.58	0.69	0.77	5916.8556	5.9169
177.814	0.90	2.79	1.01	0.19	11.77	0.88	1.01	12.07	0.19	1.49	0.21	0.036	7.93	0.58	0.80	5916.9745	5.9170
177.841	0.77	1.35	1.44	0.00	8.30	0.79	1.05	11.60	0.23	1.72	0.24	0.016	8.70	0.42	0.81	5917.056	5.9171
177.868	1.18	9.91	1.88	0.09	10.25	0.84	1.05	13.57	0.17	1.67	0.19	0.030	12.82	0.73	0.91	5917.1286	5.9171
177.895	1.17	3.14	2.57	0.09	16.44	0.76	0.93	12.29	0.20	1.60	0.24	0.022	13.55	0.68	0.83	5917.1945	5.9172
177.922	1.14	2.72	2.42	0.09	12.41	0.81	0.84	12.92	0.17	1.51	0.19	0.005	87.34	0.71	0.76	5917.2545	5.9173
177.949	3.61	1.91	1.91	0.09	10.00	0.79	0.79	14.16	0.18	1.30	0.28	0.038	122.55	0.61	0.73	5917.3094	5.9173
177.976	0.82	2.22	1.90	0.17	24.00	0.74	0.75	14.00	0.15	1.41	0.20	0.045	218.32	1.32	0.83	5917.3597	5.9174
178.003	0.96	2.43	2.40	0.00	10.21	0.80	0.59	12.56	0.15	0.93	0.15	0.022	30.37	2.24	0.58	5917.4064	5.9174
178.030	0.94	2.92	2.55	0.08	10.99	0.78	0.64	11.99	0.17	1.13	0.14	0.025	22.84	1.22	0.50	5917.4501	5.9175
178.057	0.77	1.68	0.71	0.16	10.08	0.74	0.60	13.01	0.18	1.40	0.19	0.087	58.52	3.46	0.53	5917.4916	5.9175
178.085	0.78	3.55	1.43	0.00	13.05	0.75	0.78	12.66	0.13	1.38	0.23	0.049	23.15	1.12	0.54	5917.533	5.9175
178.112	1.49	4.17	6.53	0.36	77.86	0.72	0.82	12.74	0.17	1.92	0.65	0.041	40.71	2.36	0.72	5917.5721	5.9176
178.139	1.41	2.90	12.61	0.10	51.04	0.70	1.15	10.16	0.15	1.43	0.32	0.091	48.62	1.93	1.01	5917.6113	5.9176
178.166	1.11	2.15	6.28	0.14	20.97	0.79	0.78	15.53	0.20	1.40	0.17	0.120	23.16	1.17	1.27	5917.6511	5.9177
178.193	0.73	1.94	10.62	0.00	14.39	0.67	0.75	14.61	0.15	1.27	0.33	0.028	9.99	0.18	0.70	5917.6924	5.9177
178.220	0.87	2.66	5.13	0.11	13.65	0.70	0.69	12.02	0.17	1.59	0.24	0.054	10.43	0.53	0.64	5917.7358	5.9177
178.247	0.76	1.36	2.86	0.00	8.65	0.69	0.90	12.97	0.19	1.49	0.16	0.008	16.16	0.92	0.59	5917.7822	5.9178
178.274	0.80	2.05	1.99	0.21	12.27	0.71	0.72	12.90	0.20	1.36	0.24	0.022	14.11	0.38	0.57	5917.8322	5.9178
178.301	1.05	1.49	0.94	0.00	7.97	0.67	0.61	12.74	0.19	1.70	0.12	0.004	9.97	0.33	0.55	5917.8865	5.9179
178.328	0.88	1.77	1.06	0.00	4.50	0.65	0.79	12.50	0.19	1.68	0.21	0.004	13.12	0.60	0.65	5917.946	5.9179
178.355	0.85	6.70	1.47	0.00	13.32	0.69	0.73	13.44	0.20	1.60	0.08	0.024	7.21	0.27	0.67	5918.0114	5.9180
178.382	0.65	2.35	1.78	0.31	8.11	0.67	0.80	12.69	0.19	1.59	0.18	0.004	28.12	0.41	0.81	5918.0877	5.9181
178.409	0.83	1.30	3.33	0.00	10.19	0.65	0.70	13.53	0.17	1.44	0.14	0.025	34.45		0.76	5918.1756	5.9182
178.436	0.63	2.77	2.06	0.00	8.83	0.68	0.83	12.89	0.14	1.68	0.23	0.146	17.14		0.78	5918.2724	5.9183
178.463	0.69	1.80	2.20	0.00	18.15	0.66	0.70	14.13	0.19	1.45	0.32	0.042	18.43	1.24	0.77	5918.3752	5.9184
178.490	1.02	2.99	6.48	0.00	13.42	0.68	0.58	13.52	0.16	1.00	0.38	0.018	28.06	0.78	0.73	5918.4815	5.9185
178.517	0.65	1.76	2.86	0.22	18.11	0.66	0.52	13.29	0.15	1.11	0.29	0.031	80.67	0.57	0.61	5918.5885	5.9186
178.544	1.09	2.86	5.75	0.23	30.79	0.65	0.76	13.21	0.12	1.16	0.36	0.385	35.67	1.07	1.03	5918.6935	5.9187
178.571	1.05	4.80	1.27	0.00	20.42	0.71	0.74	13.08	0.19	1.57	0.57	0.062	18.58	1.14	1.17	5918.7937	5.9188
178.599	0.82	2.60	12.79	0.00	18.82	0.65	0.63	14.56	0.17	1.20	0.25	0.048	18.96	0.61	0.80	5918.8898	5.9189
178.626	0.89	2.67	5.69	0.00	21.30	0.69	0.54	13.32	0.16	1.20	0.34	0.041	19.00	1.53	0.72	5918.972	5.9190
178.653	0.93	3.01	2.57	0.00	17.47	0.71	0.48	12.32	0.16	0.94	0.41	0.028	17.12	1.18	0.63	5919.0428	5.9190
178.680	0.69	2.36	2.07	1.04	15.69	0.75	0.37	12.37	0.16	1.20	0.26	0.029	52.54	0.99	0.51	5919.1071	5.9191
178.707	1.03	2.70	1.20	0.00	18.51	0.76	0.55	9.77	0.21	1.03	0.27	0.038	17.37	0.57	0.56	5919.1663	5.9192
178.734	0.88	1.78	1.92	0.00	15.94	0.73	0.65	10.49	0.18	1.40	0.76	0.059	21.56	0.84	0.56	5919.221	5.9192
178.761	1.17	2.40	1.06	0.10	20.38	0.77	0.82	11.28	0.17	1.62	0.31	0.104	14.49	0.67	0.76	5919.2722	5.9193
