Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
1.659	1.10	2.27	2.39	0.12	16.08	0.69	0.84	6.33	0.11	0.94	0.40	0.015	13.58	0.82	0.35	5415.5296	5.4155
1.686	1.03	3.80	2.26	0.00	7.94	0.77	0.94	6.16	0.09	0.80	0.31	0.023	10.68	0.25	0.37	5415.5803	5.4156
1.713	1.24	4.65	5.34	0.00	14.57	0.76	0.95	6.04	0.16	0.87	0.51	0.045	11.45	0.61	0.36	5415.6292	5.4156
1.740	1.26	6.66	3.40	0.00	19.39	0.77	1.13	7.21	0.15	0.99	0.40	0.026	10.68	0.42	0.46	5415.6767	5.4157
1.767	0.89	3.74	1.97	0.23	14.28	0.75	0.85	5.80	0.13	0.80	0.46	0.000	6.95	0.51	0.33	5415.7233	5.4157
1.794	1.67	3.15	2.44	0.22	9.38	0.73	0.98	5.88	0.15	0.64	0.37	0.031	7.30	0.73	0.49	5415.7692	5.4158
1.821	0.86	2.74	1.83	0.00	10.88	0.74	0.89	6.20	0.11	0.78	0.35	0.053	4.58	0.62	0.39	5415.8149	5.4158
1.848	1.08	2.01	1.60	0.23	8.40	0.79	1.09	5.65	0.14	0.63	0.34	0.032	19.26	0.51	0.34	5415.8608	5.4159
1.876	1.45	2.72	1.49	0.22	5.80	0.75	1.05	6.23	0.15	0.69	0.54	0.045	4.29	0.27	0.44	5415.9089	5.4159
1.903	1.32	2.98	1.63	0.00	13.15	0.89	0.90	5.77	0.18	0.56	0.15	0.022	8.90	0.59	0.44	5415.9563	5.4160
1.930	0.99	1.34	1.54	0.12	8.66	0.97	0.75	7.59	0.11	0.63	0.26	0.001	5.65	0.14	0.42	5416.005	5.4160
1.957	1.08	3.20	3.08	0.00	16.24	0.92	0.87	7.47	0.12	0.90	0.28	0.138	5.76	0.48	0.33	5416.0532	5.4161
1.984	0.89	24.63	9.77	0.11	11.04	0.83	1.04	6.06	0.10	0.87	0.65	0.027	6.91	0.25	0.31	5416.1	5.4161
2.011	0.79	8.39	18.13	0.00	18.45	0.87	1.22	6.67	0.09	1.00	0.74	0.036	16.97	2.74	0.56	5416.1455	5.4161
2.038	1.05	5.93	2.29	0.12	9.00	0.86	1.32	6.30	0.09	0.69	0.26	0.030	10.97	0.81	0.57	5416.1899	5.4162
2.065	1.38	5.51	3.93	0.12	10.29	0.87	1.06	6.61	0.10	0.78	0.44	0.016	11.63	2.51	0.47	5416.2334	5.4162
2.092	1.52	4.82	5.90	0.24	10.19	0.74	1.26	6.53	0.10	0.85	0.40	0.019	12.14	1.10	1.20	5416.2762	5.4163
2.119	1.95	9.85	8.21	0.13	61.07	0.83	1.12	6.25	0.09	0.83	0.96	0.000	60.72	1.55	0.72	5416.3184	5.4163
2.146	1.04	8.60	6.89	0.12	19.24	0.83	1.26	6.59	0.10	0.96	0.93	0.194	19.71	1.73	1.66	5416.3603	5.4164
2.173	0.91	10.77	3.53	0.28	29.54	0.80	1.56	7.40	0.10	0.70	0.58	0.104	17.25	1.71	1.49	5416.4019	5.4164
2.200	1.49	7.32	10.10	0.45	22.55	0.85	0.98	8.55	0.14	0.64	0.42	0.042	297.02	1.05	1.46	5416.4436	5.4164
2.227	1.45	4.26	2.48	0.16	7.72	0.80	0.88	9.87	0.12	0.63	0.33	0.026	16.41	0.77	1.58	5416.4854	5.4165
2.254	1.24	10.54	6.70	0.00	12.61	0.82	0.65	9.02	0.10	0.58	0.52	0.007	20.37	0.95	0.98	5416.5275	5.4165
2.281	0.87	6.57	4.01	0.33	13.47	0.70	0.70	9.54	0.09	0.67	0.27	0.017	28.71	0.35	1.61	5416.5702	5.4166
2.308	0.59	8.86	6.43	0.15	18.99	0.71	0.69	7.34	0.11	0.86	0.65	0.059	13.05	0.81	1.41	5416.6136	5.4166
2.335	1.14	13.77	7.53	0.30	26.99	0.87	0.94	8.04	0.13	0.85	0.76	0.037	84.85	0.54	2.05	5416.6578	5.4167
2.362	2.34	29.29	22.93	1.39	41.41	0.91	1.01	7.72	0.14	1.32	1.99	0.130	122.96	2.30	2.09	5416.7032	5.4167
2.390	3.24	59.72		0.99	69.83	0.86	1.16	7.61	0.15	1.99		0.529	183.70	4.37	6.36	5416.7515	5.4168
2.417		45.55		1.79	53.09	0.92	1.18	10.31	0.15	1.33	1.50	1.163	168.56	3.24		5416.7996	5.4168
2.444	2.01	43.01		1.06	66.78	0.83	0.77	6.99	0.09	1.46	1.54	0.373	180.84	2.61	6.00	5416.8492	5.4168
2.471	2.07	16.38	21.73	0.76	30.14	0.86	1.16	6.24	0.09	1.15	1.01	0.225	77.99	1.34	4.78	5416.9007	5.4169
2.498	1.68	12.01	22.13	0.25	31.05	0.88	1.16	5.34	0.12	0.92	0.91	0.215	77.22	2.17	1.34	5416.9541	5.4170
2.525	1.32	6.34	9.36	0.10	22.89	0.90	1.24	4.29	0.12	1.13	0.43	0.295	55.84	0.72	0.69	5417.0096	5.4170
2.552	1.70	5.07	11.04	0.10	15.76	0.86	1.47	4.55	0.08	0.80	0.80	0.048	23.07	0.63	0.37	5417.0665	5.4171
2.579	2.47	27.39		0.58	43.71	0.85	1.22	5.55	0.14	1.25	0.74	0.146	276.58	1.79	1.17	5417.1246	5.4171
2.606	1.63	15.24		0.34	17.99	0.90	0.75	7.07	0.14	0.67	1.15	0.138	46.87	0.97	1.05	5417.1843	5.4172
2.633	1.97	5.40	14.91	0.25	18.43	0.98	0.81	7.74	0.13	0.68	0.57	0.183	41.33	0.75	0.74	5417.2459	5.4172
2.660	1.78	3.52	9.56	0.00	9.77	0.91	0.48	7.49	0.13	0.82	0.65	0.074	29.94	1.11	0.70	5417.3098	5.4173
2.687	1.18	4.98	11.28	0.11	16.35	0.86	0.71	7.31	0.13	0.87	0.49	0.203	42.35	0.84	0.58	5417.3764	5.4174
2.714	1.58	7.78	12.36	0.00	15.15	0.88	0.76	7.66	0.15	0.96	0.64	0.112	22.13	0.84	0.64	5417.4461	5.4174
2.741	1.41	9.07	24.63	0.11	13.47	0.74	0.92	6.86	0.09	0.59	0.63	0.094	81.20	0.64	0.67	5417.5191	5.4175
2.768	1.32	6.23	15.70	0.12	15.47	0.81	1.25	6.26	0.10	0.85	0.99	0.064	27.02	0.89	0.81	5417.5959	5.4176
2.795	1.91	8.08		0.00	16.31	0.73	1.35	6.45	0.09	0.72	0.88	0.076	47.59	1.37	0.79	5417.6768	5.4177
2.822		16.02		0.48	18.40	0.73	1.04	6.90	0.09	0.77	1.25	0.118	86.55	0.90	0.79	5417.7621	5.4178
2.849	2.52	12.42		0.25	20.78	0.85	0.99	7.02	0.10	0.84	1.53	0.530	117.14	2.55	1.95	5417.8523	5.4179
2.876	1.42	4.42	14.05	0.24	10.81	0.85	1.17	5.94	0.10	0.56	0.36	0.303	22.72	0.71	0.70	5417.9477	5.4179
2.903	1.15	3.92	8.18	0.00	10.18	0.81	1.20	5.01	0.08	0.68	0.68	0.044	15.91	0.46	0.35	5418.0534	5.4181
2.931	1.11	5.51	5.66	0.55	15.63	0.81	1.25	6.26	0.07	0.86	0.29	0.034	27.51	0.23	0.40	5418.1966	5.4182
2.958	0.73	7.62	8.21	0.11	9.68	0.78	1.32	5.89	0.07	0.80	0.74	0.008	33.01	0.47	0.37	5418.3586	5.4184
2.985	1.05	32.64	7.42	0.11	8.84	0.80	1.43	5.95	0.10	0.77	0.58	0.111	18.54	0.39	0.41	5418.5314	5.4185
3.012	0.97	4.31	4.23	0.00	9.68	0.75	1.35	4.94	0.08	0.75	0.68	0.111	8.65	0.31	0.25	5418.7025	5.4187
3.039	3.00	10.90	17.72	0.00	14.33	0.73	1.19	5.23	0.11	1.01	0.87	0.030	29.99	0.74	0.29	5418.8592	5.4189
3.066	1.46	4.99	11.65	0.11	12.12	0.79	1.53	5.66	0.09	0.84	0.85	0.143	26.89	0.62	0.46	5418.9891	5.4190
